,Location,Date,Time,People
0,c,010919,094726,1
1,c,010919,094728,1
2,c,010919,094731,1
3,c,010919,094733,3
4,c,010919,094735,1
5,c,010919,094737,1
6,c,010919,094739,2
7,c,010919,094741,3
8,c,010919,094744,5
9,c,010919,094746,3
10,c,010919,094748,5
11,c,010919,094750,3
12,c,010919,094752,4
13,c,010919,094754,4
14,c,010919,094756,6
15,c,010919,094758,5
16,c,010919,094800,7
17,c,010919,094802,4
18,c,010919,094804,4
19,c,010919,094806,4
20,c,010919,094808,2
21,c,010919,094811,2
22,c,010919,094813,2
23,c,010919,094815,3
24,c,010919,094817,3
25,c,010919,094819,6
26,c,010919,094821,5
27,c,010919,094823,5
28,c,010919,094825,4
29,c,010919,094828,6
30,c,010919,094830,5
31,c,010919,094832,7
32,c,010919,094834,6
33,c,010919,094836,8
34,c,010919,094838,3
35,c,010919,094840,2
36,c,010919,094842,2
37,c,010919,094844,2
38,c,010919,094847,2
39,c,010919,094849,2
40,c,010919,094851,3
41,c,010919,094853,2
42,c,010919,094855,2
43,c,010919,094857,2
44,c,010919,094859,2
45,c,010919,094901,3
46,c,010919,094903,2
47,c,010919,094905,1
48,c,010919,094907,1
49,c,010919,094909,0
50,c,010919,094911,0
51,c,010919,094913,0
52,c,010919,094916,2
53,c,010919,094918,0
54,c,010919,094920,0
55,c,010919,094922,0
56,c,010919,094924,0
57,c,010919,094926,1
58,c,010919,094928,1
59,c,010919,094930,1
60,c,010919,094932,1
61,c,010919,094934,2
62,c,010919,094936,3
63,c,010919,094938,2
64,c,010919,094940,1
65,c,010919,094942,1
66,c,010919,094944,2
67,c,010919,094946,1
68,c,010919,094949,1
69,c,010919,094951,1
70,c,010919,094953,2
71,c,010919,094955,2
72,c,010919,094957,2
73,c,010919,094959,2
74,c,010919,095001,3
75,c,010919,095003,3
76,c,010919,095005,3
77,c,010919,095007,3
78,c,010919,095009,4
79,c,010919,095011,2
80,c,010919,095013,2
81,c,010919,095015,3
82,c,010919,095018,3
83,c,010919,095020,3
84,c,010919,095022,3
85,c,010919,095024,2
86,c,010919,095026,2
87,c,010919,095028,2
88,c,010919,095030,2
89,c,010919,095032,2
90,c,010919,095034,1
91,c,010919,095036,1
92,c,010919,095038,2
93,c,010919,095040,3
94,c,010919,095042,4
95,c,010919,095045,5
96,c,010919,095047,6
97,c,010919,095049,6
98,c,010919,095051,6
99,c,010919,095053,7
100,c,010919,095055,7
101,c,010919,095057,5
102,c,010919,095059,5
103,c,010919,095101,4
104,c,010919,095103,3
105,c,010919,095105,1
106,c,010919,095107,1
107,c,010919,095109,0
108,c,010919,095111,0
109,c,010919,095113,1
110,c,010919,095116,0
111,c,010919,095118,0
112,c,010919,095120,0
113,c,010919,095122,0
114,c,010919,095124,1
115,c,010919,095126,0
116,c,010919,095128,1
117,c,010919,095130,1
118,c,010919,095132,1
119,c,010919,095134,2
120,c,010919,095136,3
121,c,010919,095138,3
122,c,010919,095140,5
123,c,010919,095142,4
124,c,010919,095144,3
125,c,010919,095146,3
126,c,010919,095148,3
127,c,010919,095151,3
128,c,010919,095153,3
129,c,010919,095155,3
130,c,010919,095157,2
131,c,010919,095159,3
132,c,010919,095201,1
133,c,010919,095203,1
134,c,010919,095205,1
135,c,010919,095207,3
136,c,010919,095209,5
137,c,010919,095211,5
138,c,010919,095213,3
139,c,010919,095215,4
140,c,010919,095218,3
141,c,010919,095220,1
142,c,010919,095225,1
143,c,010919,095227,0
144,c,010919,095229,0
145,c,010919,095231,0
146,c,010919,095233,0
147,c,010919,095235,0
148,c,010919,095237,0
149,c,010919,095239,2
150,c,010919,095241,2
151,c,010919,095244,3
152,c,010919,095246,3
153,c,010919,095248,4
154,c,010919,095250,1
155,c,010919,095252,0
156,c,010919,095254,0
157,c,010919,095256,0
158,c,010919,095259,1
159,c,010919,095301,2
160,c,010919,095303,4
161,c,010919,095305,4
162,c,010919,095307,4
163,c,010919,095309,4
164,c,010919,095311,4
165,c,010919,095313,4
166,c,010919,095315,4
167,c,010919,095317,4
168,c,010919,095319,5
169,c,010919,095321,4
170,c,010919,095323,3
171,c,010919,095325,2
172,c,010919,095328,0
173,c,010919,095330,0
174,c,010919,095332,0
175,c,010919,095334,0
176,c,010919,095336,0
